Site,Linking pages,Target pages
medium.com,3,2
andyswan.com,2,1
pinterest.com,2,1
slideshare.net,2,1
x.com,2,1
about.me,1,1
bye.fyi,1,1
crunchbase.com,1,1
drjack.world,1,1
f6s.com,1,1
jacquesbruwer.com,1,1
joshmohrer.com,1,1
journalofajournalist.com,1,1
minusmanhattan.com,1,1
personalwebsites.org,1,1
sandeepparuchuri.com,1,1
tumblr.com,1,1
wearenytech.com,1,1
