Site,Linking pages,Target pages
medium.com,3,1
about.me,2,2
apsense.com,1,1
blogspot.com,1,1
bye.fyi,1,1
linktr.ee,1,1
nickhalaris.com,1,1
parodyhaggadahs.com,1,1
