Site,Linking pages,Target pages
apple.com,11,1
spotify.com,8,1
iheart.com,3,1
medium.com,3,2
truefans.fm,3,1
about.me,2,2
anchor.fm,1,1
apsense.com,1,1
blogspot.com,1,1
bucharestcocktailparty.com,1,1
linktr.ee,1,1
listennotes.com,1,1
